region,year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
East Asia & Pacific,1960,1030256390.00,404945587.00,585289187.00,39957381.00,"",0.00
East Asia & Pacific,1961,1033472284.00,406923720.00,586097390.00,40385259.00,"",""
East Asia & Pacific,1962,1047566333.00,415448157.00,591268293.00,40782047.00,"",""
East Asia & Pacific,1963,1072954212.00,429182132.00,602386527.00,41315628.00,"",""
East Asia & Pacific,1964,1097972842.00,441502104.00,614676547.00,41722099.00,"",""
East Asia & Pacific,1965,1124041729.00,452263897.00,629586092.00,42117520.00,"",0.00
East Asia & Pacific,1966,1153532209.00,465687528.00,643887019.00,43881331.00,"",""
East Asia & Pacific,1967,1182060557.00,476197216.00,660117304.00,45667619.00,"",""
East Asia & Pacific,1968,1210983884.00,485424776.00,678017791.00,47460831.00,"",""
East Asia & Pacific,1969,1243401022.00,495775214.00,698172328.00,49370855.00,"",""
East Asia & Pacific,1970,1275813452.00,506919518.00,717634980.00,51174105.00,"",0.00
East Asia & Pacific,1971,1309172006.00,520007516.00,735750506.00,53326760.00,"",""
East Asia & Pacific,1972,1340715118.00,531789580.00,753450337.00,55385478.00,"",""
East Asia & Pacific,1973,1370684198.00,542410348.00,770817976.00,57363630.00,"",""
East Asia & Pacific,1974,1400473191.00,551494262.00,789440157.00,59444175.00,"",""
East Asia & Pacific,1975,1427284700.00,557634283.00,808055772.00,61497956.00,"",0.00
East Asia & Pacific,1976,1451168566.00,560717210.00,826359686.00,63993191.00,"",0.00
East Asia & Pacific,1977,1473719245.00,561504107.00,845584431.00,66530656.00,"",0.00
East Asia & Pacific,1978,1496185850.00,560555864.00,866393395.00,69134828.00,"",0.00
East Asia & Pacific,1979,1519063049.00,558356363.00,888824813.00,71777772.00,"",0.00
East Asia & Pacific,1980,1541490818.00,555003206.00,911997777.00,74382424.00,"",0.00
East Asia & Pacific,1981,1564760463.00,549570428.00,937630567.00,77447733.00,"",13275.00
East Asia & Pacific,1982,1590324404.00,545341286.00,964392561.00,80473605.00,"",19804.00
East Asia & Pacific,1983,1615887297.00,541207901.00,991167008.00,83389410.00,"",27198.00
East Asia & Pacific,1984,1640201861.00,536665835.00,1017253193.00,86153191.00,"",43142.00
East Asia & Pacific,1985,1665103769.00,532657491.00,1043440775.00,88868683.00,"",68229.00
East Asia & Pacific,1986,1691578623.00,532310855.00,1067469227.00,91653988.00,"",128390.00
East Asia & Pacific,1987,1719454796.00,532857836.00,1092066093.00,94378101.00,"",226225.00
East Asia & Pacific,1988,1747590318.00,534069978.00,1116272686.00,97086840.00,"",424070.00
East Asia & Pacific,1989,1775103891.00,535375779.00,1139657646.00,99902445.00,"",871637.00
East Asia & Pacific,1990,1801914615.00,536252148.00,1162539915.00,102948707.00,"",1563028.00
East Asia & Pacific,1991,1827718875.00,540663605.00,1180849686.00,106027599.00,"",2548509.00
East Asia & Pacific,1992,1851795390.00,541349642.00,1200871397.00,109393738.00,"",3672398.00
East Asia & Pacific,1993,1875023701.00,540126895.00,1221712644.00,113001781.00,"",5491195.00
East Asia & Pacific,1994,1898282441.00,539387343.00,1241975237.00,116735719.00,"",10668664.00
